segment_id,street,from_street,to_street,borough,direction,total_volume,n_observations,first_seen,last_seen
22139,HAMILTON AVENUE BRIDGE,Gowanus Canal Shoreline,Gowanus Canal Shoreline,Brooklyn,westbound,212977,210,2019-04-27 02:45:00,2019-05-05 16:00:00
136811,F D R DR,FDR DR NB EXIT 12/E 60 STREET PEDESTRIAN OPAS,BEND,Manhattan,southbound,168740,210,2013-10-06 11:00:00,2013-10-13 00:15:00
9012249,CROSS BRONX EXPRESSWAY,Crotona Parkway,Dead end,Bronx,eastbound,168554,174,2014-11-10 19:30:00,2014-11-16 23:45:00
9009362,HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,Brooklyn,eastbound,168106,210,2019-04-29 03:15:00,2019-05-05 16:30:00
9009491,12 AVENUE,Dead End,Dead end,Manhattan,northbound,167597,315,2018-10-14 22:15:00,2022-11-03 16:45:00
151673,BROOKLYN BRIDGE,BOROUGH BOUNDARY,BODY OF WATER,Manhattan,eastbound,165177,420,2012-11-18 12:30:00,2013-10-14 07:45:00
9012004,BRUCKNER EXPRESSWAY,Dead End,Buhre Avenue Pedestrian Overpass,Bronx,northbound,142286,167,2014-11-10 21:15:00,2014-11-16 23:45:00
151673,BROOKLYN BRIDGE,BOROUGH BOUNDARY,BODY OF WATER,Manhattan,westbound,118043,210,2012-11-19 01:30:00,2012-11-25 14:45:00
151982,BROOKLYN BRIDGE,BOROUGH BOUNDARY,BODY OF WATER,Manhattan,westbound,108556,210,2013-10-05 16:30:00,2013-10-12 05:45:00
136811,F D R DRIVE,Astoria Line,Dead end,Manhattan,southbound,106700,210,2021-10-27 09:30:00,2023-10-18 22:45:00
